LY,ND,TM,DYZZ,TXZZ,QBZZ,CBS,NFJM,FBSJ
植保学会科技奖,2018,"Population genetics analyses of Hirsutella rhossiliensis, a dominant parasite of cyst nematode juveniles ",王牛牛,向梅春,张永杰；蒋先芝；束弛；刘杏忠,Applied and Environmental Microbiology,2016年82卷6317-6325页,
植保学会科技奖,2018,"Functional response of the fungus Hirsutella rhossiliensis to the nematode, Heterodera glycines",束弛,向梅春；刘杏忠,赖屹玲；杨恩策,Science China- Life Sciences,2015年58卷7期704-712页,
植保学会科技奖,2018,连作条件下大庆和安达地区大豆胞囊线虫毒力类型鉴定研究,陈井生,李泽宇,李肖白；周长军；罗璇；王东；段玉玺；陈立杰,大豆科学,2015年34卷675-678页,
植保学会科技奖,2018,ALS herbicide resistance mutations in Raphanus raphanistrum: evaluation of pleiotropic effects on vegetat,李美,,余勤；韩和平,Pest Management Science,2013年,
植保学会科技奖,2018,山东省小麦田杂草组成及群落特,高兴祥,李美,李美；房锋；李健；张悦丽；孙作文,草业学报,2014年,
植保学会科技奖,2018,河南省冬小麦田杂草组成及群落特征,高兴祥,李美,李美；房锋；李健,麦类作物学,2016年,
植保学会科技奖,2018,黄淮海冬小麦田杂草发生现状、 防除难点及防控技术,李美,李美,高兴祥；李健；房锋；孙作文,山东农业科学,2016年,
植保学会科技奖,2018,麦田节节麦发生动态及其对小麦产量的影响,房锋,魏守辉,张朝贤；黄红娟；李美；高兴祥；魏守辉,生态学报,2014年,
植保学会科技奖,2018,麦田播娘蒿发生动态及其对小麦产量构成因素的影响,房锋,李美,李美；高兴祥；李健；李燕,中国农业科学,2015年,
植保学会科技奖,2018,山东省小麦田播娘蒿对苯磺隆的抗性测定,高兴祥,李美,李美；高宗军；房锋；张悦丽；齐军山,植物保护学报,2014年,
植保学会科技奖,2018,大穗看麦娘化学防控田间效果评价,高兴祥,李美,李美；孙作文；房锋；李健；吴加军；李茂昇,草叶学报,2016年25卷8期172页,
植保学会科技奖,2018,嘧肽霉素诱导烟草BY_2悬浮细胞防卫反应的研究,郭依,安梦楠；吴元华,安梦楠；吴元华,农药,2018年,
植保学会科技奖,2018,1.8% 嘧肽多抗水剂对水稻纹枯病菌的作用机理,司洪阳,吴元华,杜 红；赵秀香；魏松红,农药,2017年,
植保学会科技奖,2018,1.8% 嘧肽多抗水剂对烟草靶斑病病菌(Rhizoctonia solani)的作用机制研究,司洪阳,吴元华,杜 红；郝学政；赵秀香,江苏农业科学,2018年,
植保学会科技奖,2018,嘧肽霉素高产菌株的选育,吴元华,吴元华,高芬；杜春梅；赵秀香；魏颖颖；宋 　影,中国生物防治,2008年,
植保学会科技奖,2018, 嘧肽霉素抗烟草花叶病毒作用机理初步研究,朱春玉,吴元华, 赵秀香；王艳红,植物病理学报,2006年,
植保学会科技奖,2018,嘧肽霉素影响烟草花叶病毒RNA蓄积量的研究,吴元华,吴元华,朱春玉；杜春梅；王艳红；赵秀香,病毒学报,2005年,
植保学会科技奖,2018,嘧肽霉素发酵液抗真菌组分的高效液相色谱分析,穆凌霄,吴元华,伏颖,农药,2011年,
植保学会科技奖,2018,不吸水链霉菌辽宁变种基因转移系统的建立,魏颖颖,吴元华,赵秀香,沈阳农业大学学报,2008年,
省山区创业奖,2018,张杂谷12号的选育及高产栽培技术,史高雷,史高雷,王峰；赵治海,现代农村科技,2015年18期13页,
省山区创业奖,2018,张杂谷推广探讨,史高雷,史高雷,王峰；赵治海,现代农村科技,2015年18期66-68页,
省山区创业奖,2018,谷子研究进展,冯小磊,赵治海,王晓明；邱风仓；宋国亮；王德权；苏旭；张晓磊；王峰,Agricultural Science &amp; Technology,2015年15卷4期564-570页,
省山区创业奖,2018,谷子新不育系的配合力分析,宋国亮,赵治海,冯小磊；范光宇；史高雷；李双东；王峰；王晓明,作物杂志,2017年177卷2期44-60页,
省山区创业奖,2018,河 北 省 坝 上 地 区 旱 地 杂 交 谷 子 栽 培 技 术,李欣儒,李欣儒,史高雷；张晓磊,现在农村科技,2015年20期14页,
省山区创业奖,2018,高效液相色谱法测定谷子叶尖组织中4种植物激素,范光宇,赵治海,刘颖慧；冯小磊；王晓明,河北农业大学学报,2015年38卷1期25-28页,
省山区创业奖,2018,极度干旱区杂交谷子水分高效利用研究,赵治海,赵治海,冯小磊；史高雷；宋国亮,节水灌溉,2017年7期42-46+56页,
省山区创业奖,2018,小反刍兽疫病毒N基因部分序列分子演化规律,王净,,王净；王鹏；王长顺,中国兽医学报,2017年37卷12期2304-2309页,
省山区创业奖,2018,小反刍兽疫病毒全基因组遗传进化分析,王净,,王净；王鹏；王长顺；史冠旭,基因组学与应用生物学,2018年37卷4期1393-1396页,
省山区创业奖,2018,间接ELISA和竞争ELISA 检测小反刍兽疫病毒抗体的比较,王净,,王净；李刚；史利军,畜牧兽医学报,2014年45卷2期333-336页,
省山区创业奖,2018,河北省绵羊小反刍兽疫免疫抗体监测与分析,王净,,王净；崔宏宇；祁永峰；韩庆安,黑龙江畜牧兽医,"2018年2期98-99,242页",
省山区创业奖,2018,关于河北省肉羊小反刍兽疫疫情防控的思考,王净,,王净,今日畜牧兽医,2018年34卷4期27-28页,
省山区创业奖,2018,小反刍兽疫流行状况分析与防控对策,王净,,王净；李学涛；王树红,今日畜牧兽医,2018年34卷1期35-36页,
省山区创业奖,2018,探析畜牧养殖的动物疾病病因及防控对策,崔宏宇,,崔宏宇；张建虹,当代畜牧,2014年17卷32期32-33页,
省山区创业奖,2018,规模化羊场常见疾病及防控措施,王树红,,王树红；白园园；王净,今日畜牧兽医,2018年34卷5期14页,
省山区创业奖,2018,罗斯 308 鸡 IL －2 基因的克隆及生物 信息学分析,丁咚,李佩国,刘铮铸；李蕴玉；张艳英；张香斋；贾青辉；张文香；李佩国,黑龙江畜牧兽医、ISSN:1004-7034,2015年12期90-94，314页,
省山区创业奖,2018,E. tenella 河北株EtMIC-2基因克隆及生物信息分析,丁咚,李佩国,刘铮铸；张艳英；张香斋；李蕴玉；李佩国；张文香；贾青辉,中国兽医学报、ISSN: 1005-4545,"2015年35卷7期1079-1083,1111页",
省山区创业奖,2018,坝上长尾鸡IL-2基因克隆与生物学信息学分析,闫艳娟,李佩国,李蕴玉；李佩国,河北科技师范学院学报、ISSN：1672-7983,2017年31卷4期49-55页,
省山区创业奖,2018,重组质粒 pcDNA3-IL-2 对鸡球虫疫苗的免疫增效作用,李蕴玉,李佩国,张香斋；贾青辉；耿田田；张召兴；丁 咚；李佩国；张艳英,中国兽医学报、ISSN:1005-4545,2017年37卷3期456-460页,
省山区创业奖,2018,Advances in Genetic Engineering Vaccine against Chicken Coccidiosis（鸡球虫基因工程疫苗的研究进展）,张香斋,李佩国,张召兴；李蕴玉；李佩国；贾青辉；张艳英；闫艳娟；常超越,Agricultural Science &amp; Technology、ISSN：1009-4229,2017年18卷8期 1480-1483页,
省山区创业奖,2018,E. tenella 河北株重组IL-2-EtMIC-2 DNA疫苗的构建及保护力分析,张召兴,李佩国,张香斋 ；李蕴玉；丁 咚；张志强；吴同垒；贾青辉；张艳英 ；李佩国,中国兽医学报、ISSN：1005-4545,2018年38卷1期77-81页,
省山区创业奖,2018,柔嫩艾美耳球虫重组 IL-2-EtMIC-2 质粒的免疫效力研究,李蕴玉,李佩国,张召兴；李佩国；张香斋；贾青辉；闫艳娟；常超越,中国兽医杂志、ISSN：0529-6005,2018年54卷2期48-50页,
省山区创业奖,2018,E.tenella河北株重组IL-2-EtMIC-2 DNA疫苗免疫原性和抗氧化能力,李蕴玉,李佩国,张召兴；李佩国；张香斋；丁咚；贾青辉；张艳英,中国兽医学报、ISSN：1005-4545,2018年38卷5期911-916页,
省山区创业奖,2018,Development of an enzyme-linked immunosorbent assay for the monitoring and surveillance of antibodies to porcine epidemic diarrhea virus based on a recombinant membrane protein,范京惠,左玉柱,范京惠；左玉柱；申小强；顾文源；邸晶美,Journal of Virological Methods,2015225卷90-94页,
省山区创业奖,2018,猪流行性腹泻病毒的基因结构及其诊断技术,范京惠,左玉柱,范京惠；左玉柱；任晓峰,世界华人消化杂志,2013年21卷1期54-59页,
省山区创业奖,2018,猪流行性腹泻病毒S基因的研究进展,孔园园,左玉柱；范京惠,孔园园；范京惠；左玉柱；邸晶美；刘宝京；罗尚星,猪业科学,2016年33卷11期102-104页,
省山区创业奖,2018,猪流行性腹泻IgA抗体间接ELISA检测方法的建立,孔园园,左玉柱,孔园园；邸晶美；罗尚星；刘宝京；范京惠；左玉柱,猪业科学,2017年34卷5期46-48页,
省山区创业奖,2018,猪流行性腹泻病毒实时荧光定量PCR方法的建立与应用,罗尚星,左玉柱,罗尚星；刘宝京；侯林杉；师乾凯；范京惠；左玉柱,北方牧业,2017年9期27页,
省山区创业奖,2018,抗猪流行性腹泻病毒单克隆抗体的制备与鉴定,邸晶美,范京惠；左玉柱,邸晶美；顾文源；左玉柱；罗尚星；刘宝京；申小强；代飞；范京惠,河北农业大学学报,2017年40卷4期96-100页,
省山区创业奖,2018,抗猪流行性腹泻病毒单克隆抗体的制备及IgA抗体抗病毒活性研究,邸晶美,范京惠；左玉柱,邸晶美；左玉柱；范京惠,河北农业大学硕士学位论文,2017年,
省山区创业奖,2018,猪流行性腹泻抗体间接ELISA检测方法的建立,孔园园,左玉柱,孔园园；左玉柱,河北农业大学硕士学位论文,2017年,
省山区创业奖,2018,金属矿山废弃地类型划分与生态退化特征,王超,王超,王超；毕君,环境保护科学,2012年38卷1期41-44.49页,
